time,y,x,band,spatial_ref,Corn2_pydms_sharpened_modis_catd
2022-06-01,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-01,4218124.264616517,628594.1105554193,1.0,0.0,24.646556396484414
2022-06-01,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-01,4218915.448835425,628594.1105554193,1.0,0.0,24.33494140625004
2022-06-01,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-01,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-02,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-02,4218915.448835425,628594.1105554193,1.0,0.0,9.181817626953148
2022-06-02,4218124.264616517,628594.1105554193,1.0,0.0,9.335046386718773
2022-06-02,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-02,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-02,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-03,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-03,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-03,4218915.448835425,628594.1105554193,1.0,0.0,5.3339147949218955
2022-06-03,4218124.264616517,628594.1105554193,1.0,0.0,5.8242407226562705
2022-06-03,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-03,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-04,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-04,4218915.448835425,628594.1105554193,1.0,0.0,NA
2022-06-04,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-04,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-04,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-04,4218124.264616517,628594.1105554193,1.0,0.0,NA
2022-06-05,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-05,4218124.264616517,628594.1105554193,1.0,0.0,2.868320312500032
2022-06-05,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-05,4218915.448835425,628594.1105554193,1.0,0.0,2.189700927734407
2022-06-05,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-05,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-06,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-06,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-06,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-06,4218124.264616517,628594.1105554193,1.0,0.0,26.158330078125005
2022-06-06,4218915.448835425,628594.1105554193,1.0,0.0,23.88168823242188
2022-06-06,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-07,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-07,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-07,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-07,4218915.448835425,628594.1105554193,1.0,0.0,13.962712402343755
2022-06-07,4218124.264616517,628594.1105554193,1.0,0.0,14.937260742187505
2022-06-07,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-08,4218915.448835425,628594.1105554193,1.0,0.0,20.46769653320314
2022-06-08,4218124.264616517,628594.1105554193,1.0,0.0,21.39933715820314
2022-06-08,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-08,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-08,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-08,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-09,4218124.264616517,628594.1105554193,1.0,0.0,21.65482055664063
2022-06-09,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-09,4218915.448835425,628576.675602286,1.0,0.0,NA
