time,y,x,band,spatial_ref,Corn3_pydms_sharpened_modis_catd
2022-06-01,4218124.264616517,629039.988318814,1.0,0.0,NA
2022-06-01,4218915.448835425,629039.988318814,1.0,0.0,NA
2022-06-01,4218915.448835425,629385.2947743271,1.0,0.0,23.96720458984379
2022-06-01,4218562.796391891,629039.988318814,1.0,0.0,NA
2022-06-01,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-01,4218124.264616517,629385.2947743271,1.0,0.0,25.22568847656254
2022-06-01,4219026.109108419,629039.988318814,1.0,0.0,NA
2022-06-01,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-02,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-02,4218915.448835425,629039.988318814,1.0,0.0,NA
2022-06-02,4218124.264616517,629039.988318814,1.0,0.0,NA
2022-06-02,4219026.109108419,629039.988318814,1.0,0.0,NA
2022-06-02,4218915.448835425,629385.2947743271,1.0,0.0,10.005914306640648
2022-06-02,4218124.264616517,629385.2947743271,1.0,0.0,10.082696533203148
2022-06-02,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-02,4218562.796391891,629039.988318814,1.0,0.0,NA
2022-06-03,4218562.796391891,629039.988318814,1.0,0.0,NA
2022-06-03,4218124.264616517,629385.2947743271,1.0,0.0,6.8903417968750205
2022-06-03,4219026.109108419,629039.988318814,1.0,0.0,NA
2022-06-03,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-03,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-03,4218915.448835425,629039.988318814,1.0,0.0,NA
2022-06-03,4218915.448835425,629385.2947743271,1.0,0.0,3.8088903808593955
2022-06-03,4218124.264616517,629039.988318814,1.0,0.0,NA
2022-06-04,4218562.796391891,629039.988318814,1.0,0.0,NA
2022-06-04,4218124.264616517,629385.2947743271,1.0,0.0,NA
2022-06-04,4218124.264616517,629039.988318814,1.0,0.0,NA
2022-06-04,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-04,4218915.448835425,629385.2947743271,1.0,0.0,NA
2022-06-04,4219026.109108419,629039.988318814,1.0,0.0,NA
2022-06-04,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-04,4218915.448835425,629039.988318814,1.0,0.0,NA
2022-06-05,4218124.264616517,629039.988318814,1.0,0.0,NA
2022-06-05,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-05,4218915.448835425,629039.988318814,1.0,0.0,NA
2022-06-05,4218915.448835425,629385.2947743271,1.0,0.0,0.6139562988281568
2022-06-05,4219026.109108419,629039.988318814,1.0,0.0,NA
2022-06-05,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-05,4218562.796391891,629039.988318814,1.0,0.0,NA
2022-06-05,4218124.264616517,629385.2947743271,1.0,0.0,1.2418859863281568
2022-06-06,4218562.796391891,629039.988318814,1.0,0.0,NA
2022-06-06,4219026.109108419,629039.988318814,1.0,0.0,NA
2022-06-06,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-06,4218124.264616517,629385.2947743271,1.0,0.0,24.718510742187505
2022-06-06,4218124.264616517,629039.988318814,1.0,0.0,NA
2022-06-06,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-06,4218915.448835425,629385.2947743271,1.0,0.0,22.34158813476563
2022-06-06,4218915.448835425,629039.988318814,1.0,0.0,NA
2022-06-07,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-07,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-07,4219026.109108419,629039.988318814,1.0,0.0,NA
2022-06-07,4218915.448835425,629385.2947743271,1.0,0.0,14.73624145507813
2022-06-07,4218562.796391891,629039.988318814,1.0,0.0,NA
2022-06-07,4218915.448835425,629039.988318814,1.0,0.0,NA
2022-06-07,4218124.264616517,629039.988318814,1.0,0.0,NA
2022-06-07,4218124.264616517,629385.2947743271,1.0,0.0,15.75217163085938
2022-06-08,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-08,4218915.448835425,629039.988318814,1.0,0.0,NA
2022-06-08,4218124.264616517,629385.2947743271,1.0,0.0,21.411147460937514
2022-06-08,4218562.796391891,629039.988318814,1.0,0.0,NA
2022-06-08,4218124.264616517,629039.988318814,1.0,0.0,NA
2022-06-08,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-08,4218915.448835425,629385.2947743271,1.0,0.0,19.21269165039064
2022-06-08,4219026.109108419,629039.988318814,1.0,0.0,NA
2022-06-09,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-09,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-09,4218562.796391891,629039.988318814,1.0,0.0,NA
2022-06-09,4218915.448835425,629039.988318814,1.0,0.0,NA
2022-06-09,4218124.264616517,629039.988318814,1.0,0.0,NA
2022-06-09,4218915.448835425,629385.2947743271,1.0,0.0,19.69040405273438
2022-06-09,4218124.264616517,629385.2947743271,1.0,0.0,21.032902832031255
2022-06-09,4219026.109108419,629039.988318814,1.0,0.0,NA
