time,y,x,band,spatial_ref,Corn2_prepped_inputs_mod21a1d_catd
2022-06-01,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-01,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-01,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-01,4218519.856725971,628989.7026648734,1.0,0.0,28.669993896484414
2022-06-02,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-02,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-02,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-02,4218519.856725971,628989.7026648734,1.0,0.0,9.600000000000023
2022-06-03,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-03,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-03,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-03,4218519.856725971,628989.7026648734,1.0,0.0,NA
2022-06-04,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-04,4218519.856725971,628989.7026648734,1.0,0.0,NA
2022-06-04,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-04,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-05,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-05,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-05,4218519.856725971,628989.7026648734,1.0,0.0,NA
2022-06-05,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-06,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-06,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-06,4218519.856725971,628989.7026648734,1.0,0.0,27.03000366210938
2022-06-06,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-07,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-07,4218519.856725971,628989.7026648734,1.0,0.0,16.57999145507813
2022-06-07,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-07,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-08,4218519.856725971,628989.7026648734,1.0,0.0,24.33000122070314
2022-06-08,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-08,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-08,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-09,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-09,4218519.856725971,628989.7026648734,1.0,0.0,25.169987792968755
2022-06-09,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-09,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-10,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-10,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-10,4218519.856725971,628989.7026648734,1.0,0.0,19.039993896484418
2022-06-10,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-11,4218519.856725971,628989.7026648734,1.0,0.0,17.660001220703123
2022-06-11,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-11,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-11,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-12,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-12,4218519.856725971,628989.7026648734,1.0,0.0,NA
2022-06-12,4218331.140033628,628989.7026648734,1.0,0.0,NA
